Update  825/2441 | Step 1,689,600 | Episodes 13693 | FPS   2248 | Mean reward     74.2 | LR 1.99e-04 | Time    752s
Update  830/2441 | Step 1,699,840 | Episodes 13720 | FPS   2249 | Mean reward      4.9 | LR 1.98e-04 | Time    756s
Update  835/2441 | Step 1,710,080 | Episodes 13747 | FPS   2249 | Mean reward     40.5 | LR 1.97e-04 | Time    760s
Update  840/2441 | Step 1,720,320 | Episodes 13770 | FPS   2250 | Mean reward     49.2 | LR 1.97e-04 | Time    765s
Update  845/2441 | Step 1,730,560 | Episodes 13807 | FPS   2250 | Mean reward     29.5 | LR 1.96e-04 | Time    769s
Update  850/2441 | Step 1,740,800 | Episodes 13832 | FPS   2251 | Mean reward     43.2 | LR 1.96e-04 | Time    773s
   ->  Model saved to checkpoints/ant_ppo_1740800.pt
Update  855/2441 | Step 1,751,040 | Episodes 13866 | FPS   2251 | Mean reward     55.0 | LR 1.95e-04 | Time    778s
Update  860/2441 | Step 1,761,280 | Episodes 13912 | FPS   2252 | Mean reward     23.0 | LR 1.94e-04 | Time    782s
Update  865/2441 | Step 1,771,520 | Episodes 13941 | FPS   2252 | Mean reward     41.0 | LR 1.94e-04 | Time    787s
Update  870/2441 | Step 1,781,760 | Episodes 13989 | FPS   2253 | Mean reward     20.0 | LR 1.93e-04 | Time    791s
Update  875/2441 | Step 1,792,000 | Episodes 14016 | FPS   2253 | Mean reward     38.9 | LR 1.92e-04 | Time    795s
Update  880/2441 | Step 1,802,240 | Episodes 14046 | FPS   2254 | Mean reward     42.4 | LR 1.92e-04 | Time    800s
Update  885/2441 | Step 1,812,480 | Episodes 14088 | FPS   2254 | Mean reward     24.2 | LR 1.91e-04 | Time    804s
Update  890/2441 | Step 1,822,720 | Episodes 14113 | FPS   2255 | Mean reward     63.6 | LR 1.91e-04 | Time    808s
Update  895/2441 | Step 1,832,960 | Episodes 14146 | FPS   2255 | Mean reward     62.1 | LR 1.90e-04 | Time    813s
Update  900/2441 | Step 1,843,200 | Episodes 14174 | FPS   2256 | Mean reward     47.3 | LR 1.89e-04 | Time    817s
